function_name,timestamp,invocations,queue_time_mean,execution_time_mean,cold_start_rate,current_rps,lag_1,lag_2,lag_5,lag_10,rolling_mean_5,rolling_std_5,rolling_mean_10,rolling_std_10,rolling_mean_30,rolling_std_30,burst_indicator,hour,minute,day_of_week
hello,2026-08-19 17:05:05,5,607.2263240814209,502.4919033050537,1.0,5,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0,17,5,2
hello,2026-08-19 17:05:07,5,125.25653839111328,234.0139389038086,0.0,5,5.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0,17,5,2
hello,2026-08-19 17:05:08,5,96.11821174621582,224.09610748291016,0.0,5,5.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0,17,5,2
hello,2026-08-19 17:05:09,6,124.18142954508464,235.19229888916016,0.0,6,5.0,5.0,0.0,0.0,5.25,0.5,5.25,0.5,5.25,0.5,0,17,5,2
hello,2026-08-19 17:05:10,5,105.85594177246094,223.1796741485596,0.0,5,6.0,5.0,0.0,0.0,5.2,0.4472135954999579,5.2,0.4472135954999579,5.2,0.4472135954999579,0,17,5,2
hello,2026-08-19 17:05:11,4,131.9636106491089,228.00040245056152,0.0,4,5.0,6.0,5.0,0.0,5.0,0.7071067811865476,5.0,0.6324555320336759,5.0,0.6324555320336759,0,17,5,2
hello,2026-08-19 17:05:12,5,141.14866256713867,231.64520263671875,0.0,5,4.0,5.0,5.0,0.0,5.0,0.7071067811865476,5.0,0.5773502691896257,5.0,0.5773502691896257,0,17,5,2
hello,2026-08-19 17:05:13,6,85.97997824350993,217.81055132548013,0.0,6,5.0,4.0,5.0,0.0,5.2,0.8366600265340756,5.125,0.6408699444616557,5.125,0.6408699444616557,0,17,5,2
hello,2026-08-19 17:05:14,4,114.7351861000061,220.56615352630612,0.0,4,6.0,5.0,6.0,0.0,4.8,0.8366600265340756,5.0,0.7071067811865476,5.0,0.7071067811865476,0,17,5,2
hello,2026-08-19 17:05:15,2,153.9369821548462,226.0756492614746,0.0,2,4.0,6.0,5.0,0.0,4.2,1.4832396974191326,4.7,1.1595018087284057,4.7,1.1595018087284057,0,17,5,2
hello,2026-08-19 17:05:16,9,767.3548327551948,222.07564777798123,0.0,9,2.0,4.0,4.0,5.0,5.2,2.588435821108957,5.1,1.7919573407620815,5.090909090909091,1.7002673586554236,0,17,5,2
hello,2026-08-19 17:05:17,9,1509.370750851101,238.3295430077447,0.0,9,9.0,2.0,5.0,5.0,6.0,3.082207001484488,5.5,2.1730674684008826,5.416666666666667,1.9752253419585197,0,17,5,2
hello,2026-08-19 17:05:18,14,3359.1590779168264,247.5081511906215,0.0,14,9.0,9.0,6.0,5.0,7.6,4.722287581247038,6.4,3.438345855527367,6.076923076923077,3.040327242845701,0,17,5,2
hello,2026-08-19 17:05:19,16,3955.910444259644,236.45268380641937,0.0,16,14.0,9.0,4.0,6.0,10.0,5.431390245600108,7.4,4.575295983139598,6.785714285714286,3.945368685678699,0,17,5,2
hello,2026-08-19 17:05:21,5,131.9936752319336,224.5901584625244,0.0,5,16.0,14.0,2.0,5.0,10.6,4.393176527297759,7.4,4.575295983139598,6.666666666666667,3.8297084310253524,0,17,5,2
hello,2026-08-19 17:05:22,6,85.14181772867839,229.903777440389,0.0,6,5.0,16.0,9.0,4.0,10.0,4.8476798574163285,7.6,4.4522154285504,6.625,3.70360185045135,0,17,5,2
hello,2026-08-19 17:05:23,5,93.01319122314452,246.65112495422363,0.0,5,6.0,5.0,9.0,5.0,9.2,5.357238094391549,7.6,4.4522154285504,6.529411764705882,3.6075900380105472,0,17,5,2
hello,2026-08-19 17:05:24,4,153.1590223312378,216.59857034683228,0.0,4,5.0,6.0,14.0,6.0,7.2,4.96990945591567,7.4,4.575295983139598,6.388888888888889,3.5502922645042467,0,17,5,2
hello,2026-08-19 17:05:25,5,76.6049861907959,215.82398414611816,0.0,5,4.0,5.0,16.0,4.0,5.0,0.70710678118654,7.5,4.503085362035432,6.315789473684211,3.464945591667548,0,17,5,2
hello,2026-08-19 17:05:26,5,105.62615394592284,214.9731159210205,0.0,5,5.0,4.0,5.0,2.0,5.0,0.70710678118654,7.8,4.184627953726724,6.25,3.385339911410592,0,17,5,2
hello,2026-08-19 17:05:27,4,123.87639284133913,218.2384729385376,0.0,4,5.0,5.0,6.0,9.0,4.6,0.5477225575051557,7.3,4.321779468896786,6.142857142857143,3.3359513528484537,0,17,5,2
hello,2026-08-19 17:05:28,6,169.01652018229166,230.04567623138428,0.0,6,4.0,5.0,5.0,9.0,4.8,0.8366600265340688,7.0,4.294699575575042,6.136363636363637,3.2556976363856487,0,17,5,2
hello,2026-08-19 17:05:29,4,115.69011211395264,219.1838026046753,0.0,4,6.0,4.0,4.0,14.0,4.8,0.8366600265340688,6.0,3.590109871423003,6.043478260869565,3.2118850436459954,0,17,5,2
hello,2026-08-19 17:05:30,3,153.47067515055338,229.2791207631429,0.0,3,4.0,6.0,5.0,16.0,4.4,1.140175425099133,4.7,0.9486832980505153,5.916666666666667,3.2021279156844744,0,17,5,2
hello,2026-08-19 17:05:31,9,926.2558354271782,221.7054102155897,0.0,9,3.0,4.0,5.0,5.0,5.2,2.387467277262662,5.1,1.6633299933166206,6.04,3.194787421201396,0,17,5,2
hello,2026-08-19 17:05:32,12,2030.0124088923135,213.01146348317465,0.0,12,9.0,3.0,4.0,6.0,6.8,3.701351104664348,5.7,2.7507574714370344,6.269230769230769,3.341349335914367,0,17,5,2
hello,2026-08-19 17:05:33,15,3216.8423970540366,238.7573560078939,0.0,15,12.0,9.0,6.0,5.0,8.6,5.128352561983233,6.7,4.001388647846033,6.592592592592593,3.6821738902996635,0,17,5,2
hello,2026-08-19 17:05:34,11,3808.707215569236,235.3577830574729,0.0,11,15.0,12.0,4.0,4.0,10.0,4.472135954999578,7.4,4.087922591134904,6.75,3.708099243547831,0,17,5,2
