baseline,metric,adp_mean,base_mean,abs_diff,rel_improvement_pct,ci_low,ci_high,effect_size,p_value_ttest,p_value_wilcoxon,n_pairs
reactive,p99_latency,1821.0395999999998,1880.1264,-59.08679999999995,-3.142703596949649,-330.19060979470606,212.01700979470618,-0.0899649190644343,0.6568735156052236,0.23036134243011475,25
reactive,sla_compliance,73.92399999999999,81.8612,-7.937199999999999,-9.695924320679392,-13.682750778516102,-2.191649221483897,-0.5702351713471344,0.008813127918989045,0.004063238686145598,25
reactive,container_seconds,203.6252,274.74960000000004,-71.12440000000001,-25.88698946240504,-90.93574491580364,-51.31305508419637,-1.4819139990799728,1.1926676115419323e-07,2.980232238769531e-07,25
reactive,cold_start_rate,6.2704,8.5144,-2.2439999999999998,-26.35535093488678,-3.5850942237990164,-0.9029057762009833,-0.6906879904640274,0.002066916755636693,0.004732524890125738,25
fixed,p99_latency,1821.0395999999998,1820.13,0.909600000000064,0.049974452374284474,-324.74949899642905,326.5686989964292,0.0011529370052562654,0.9954481227245469,0.8531995415687561,25
fixed,sla_compliance,73.92399999999999,83.3036,-9.379600000000002,-11.259537402945373,-15.24234493573017,-3.5168550642698326,-0.6603917844239366,0.0029975357261522065,0.0007788753356181733,25
fixed,container_seconds,203.6252,272.80840000000006,-69.1832,-25.359629688821894,-88.6417346860599,-49.72466531394009,-1.4676039000112033,1.4055423299724807e-07,5.960464477539063e-08,25
fixed,cold_start_rate,6.2704,7.969600000000001,-1.6991999999999998,-21.321019875526996,-2.808450226267123,-0.5899497737328769,-0.6323147569183024,0.004214472158090384,0.006483010200702932,25
threshold,p99_latency,1821.0395999999998,2051.0112,-229.97159999999988,-11.21259601117731,-565.5456584595366,105.60245845953685,-0.2828812552639713,0.17008561006417763,0.023649930953979492,25
threshold,sla_compliance,73.92399999999999,76.5124,-2.5884000000000005,-3.382981059279281,-9.924184649105149,4.747384649105149,-0.14564754262707658,0.47351419505632397,0.47580527148555585,25
threshold,container_seconds,203.6252,287.0156,-83.39040000000001,-29.054309243121285,-106.16456847368086,-60.61623152631917,-1.5114433425965494,8.516461057459032e-08,5.960464477539063e-08,25
threshold,cold_start_rate,6.2704,5.148,1.1224000000000003,21.80264180264181,0.09012310665385481,2.1546768933461458,0.44881751408040377,0.03431769902771583,0.007435768936334256,25
predictive_ema,p99_latency,1821.0395999999998,13608.122800000001,-11787.0832,-86.6179955401343,-36135.678610930074,12561.512210930077,-0.19982544086587695,0.32770079512297307,0.615043044090271,25
predictive_ema,sla_compliance,73.92399999999999,82.7124,-8.7884,-10.625250869277156,-13.37946749610304,-4.197332503896959,-0.7901589830429553,0.0005966157750614093,0.0007788753356181733,25
predictive_ema,container_seconds,203.6252,336.8876,-133.26239999999999,-39.55693234182557,-274.96750002650106,8.442700026501058,-0.3881865587444089,0.0640991063516901,5.960464477539063e-08,25
predictive_ema,cold_start_rate,6.2704,8.5412,-2.2708000000000004,-26.58642813656161,-3.4825117343879337,-1.059088265612067,-0.7735669665875261,0.0007353416900952237,0.0026726862354573976,25
predictive_hybrid,p99_latency,1821.0395999999998,1664.0928000000004,156.94680000000002,9.431373058040993,42.42656466304078,271.46703533695927,0.5657031245509176,0.00929178064146259,0.0050716400146484375,25
predictive_hybrid,sla_compliance,73.92399999999999,83.86040000000001,-9.9364,-11.84873909497212,-12.918837181235991,-6.95396281876401,-1.3752324304957755,4.122221211394713e-07,4.612538017926031e-05,25
predictive_hybrid,container_seconds,203.6252,264.5652,-60.94000000000001,-23.034019591389953,-80.72367472149145,-41.156325278508575,-1.2714925828110266,1.4242500061343553e-06,1.1324882507324219e-06,25
predictive_hybrid,cold_start_rate,6.2704,7.644400000000001,-1.374,-17.973941708963423,-2.2849386757028536,-0.46306132429714664,-0.6226097758971291,0.004736774770384109,0.007780205539522198,25
