policy,workload,mean_p99,std_p99,mean_sla,std_sla,mean_cost,std_cost,mean_cs
adaptive,bursty_001,3686.4932330402416,103.09870392864504,75.5695600882814,2.4351762362729357,273.9968063626317,6.672253151930908,8.043797306843507
adaptive,constant_001,1886.4932330402414,103.09870392864515,85.5695600882814,2.4351762362729357,133.9968063626317,6.672253151930932,4.043797306843507
adaptive,mixed_001,3326.4932330402416,103.09870392864508,77.5695600882814,2.4351762362729357,245.99680636263165,6.672253151930923,7.243797306843507
adaptive,periodic_001,1886.4932330402414,103.09870392864515,85.5695600882814,2.4351762362729357,133.9968063626317,6.672253151930932,4.043797306843507
adaptive,poisson_001,2786.4932330402416,103.09870392864508,80.5695600882814,2.4351762362729357,203.99680636263167,6.672253151930923,6.043797306843507
fixed,bursty_001,4080.8409838269777,65.30462957164711,80.3166038496498,2.5241151949187057,802.4580601537501,9.829353417694103,10.078738166079203
fixed,constant_001,2080.8409838269777,65.30462957164733,90.3166038496498,2.524115194918705,402.4580601537501,9.829353417694087,5.078738166079203
fixed,mixed_001,3680.8409838269777,65.3046295716475,82.3166038496498,2.5241151949187057,722.4580601537501,9.829353417694103,9.078738166079203
fixed,periodic_001,2080.8409838269777,65.30462957164733,90.3166038496498,2.524115194918705,402.4580601537501,9.829353417694087,5.078738166079203
fixed,poisson_001,3080.8409838269777,65.30462957164733,85.3166038496498,2.5241151949187057,602.4580601537501,9.829353417694103,7.578738166079203
predictive_ema,bursty_001,4170.036831446856,145.57153520864722,75.9366921696143,1.3804657624536987,441.2574586462109,10.16367291447846,11.941759015663715
predictive_ema,constant_001,2070.0368314468556,145.57153520864722,85.9366921696143,1.3804657624536987,221.25745864621095,10.163672914478475,5.941759015663715
predictive_ema,mixed_001,3750.0368314468556,145.57153520864722,77.9366921696143,1.3804657624536987,397.2574586462109,10.16367291447846,10.741759015663714
predictive_ema,periodic_001,2070.0368314468556,145.57153520864722,85.9366921696143,1.3804657624536987,221.25745864621095,10.163672914478475,5.941759015663715
predictive_ema,poisson_001,3120.0368314468556,145.57153520864722,80.9366921696143,1.3804657624536987,331.2574586462109,10.163672914478475,8.941759015663715
predictive_hybrid,bursty_001,3798.6409068328962,114.55646966925606,78.72419299076543,1.8470089475046496,423.6948539805556,16.872977903366255,9.019412606662934
predictive_hybrid,constant_001,1898.6409068328962,114.55646966925636,88.72419299076543,1.8470089475046496,213.6948539805556,16.872977903366234,4.519412606662934
predictive_hybrid,mixed_001,3418.6409068328962,114.55646966925626,80.72419299076543,1.8470089475046496,381.6948539805556,16.872977903366255,8.119412606662934
predictive_hybrid,periodic_001,1898.6409068328962,114.55646966925636,88.72419299076543,1.8470089475046496,213.6948539805556,16.872977903366234,4.519412606662934
predictive_hybrid,poisson_001,2848.6409068328962,114.55646966925626,83.72419299076543,1.8470089475046496,318.6948539805556,16.872977903366255,6.769412606662934
reactive,bursty_001,5018.97549179803,58.35625773254198,70.39873175752504,0.7828807403725029,396.69453072534964,13.826082491573517,19.8087985198782
reactive,constant_001,2518.975491798031,58.35625773254178,80.39873175752504,0.7828807403725029,196.69453072534967,13.826082491573496,9.808798519878197
reactive,mixed_001,4518.97549179803,58.35625773254198,72.39873175752504,0.7828807403725029,356.69453072534964,13.826082491573512,17.808798519878195
reactive,periodic_001,2518.975491798031,58.35625773254178,80.39873175752504,0.7828807403725029,196.69453072534967,13.826082491573496,9.808798519878197
reactive,poisson_001,3768.975491798031,58.35625773254178,75.39873175752504,0.7828807403725029,296.69453072534964,13.826082491573512,14.808798519878199
threshold,bursty_001,4637.027990324607,35.41591912880803,72.22656183768568,1.4297386854097585,497.05362433978917,10.631669499955883,15.495099916711785
threshold,constant_001,2337.0279903246073,35.41591912880823,82.22656183768568,1.4297386854097585,247.05362433978917,10.631669499955848,7.495099916711784
threshold,mixed_001,4177.027990324607,35.41591912880803,74.22656183768568,1.4297386854097585,447.05362433978917,10.631669499955883,13.895099916711786
threshold,periodic_001,2337.0279903246073,35.41591912880823,82.22656183768568,1.4297386854097585,247.05362433978917,10.631669499955848,7.495099916711784
threshold,poisson_001,3487.0279903246073,35.41591912880823,77.22656183768568,1.4297386854097585,372.05362433978917,10.631669499955883,11.495099916711784
