experiment_id,policy,workload,seed,repetition,function,sla_compliance,cold_start_rate,p50_latency,p95_latency,p99_latency,p95_queue,container_seconds,invocation_count
reactive_burst_001_101,reactive,burst_001,101,1,hello,47.43,5.71,1079.07,7339.21,7867.74,7111.19,348.51,175
predictive_ema_burst_001_101,predictive_ema,burst_001,101,1,hello,48.82,5.88,1187.43,8115.20,9070.08,7844.23,343.20,170
predictive_hybrid_burst_001_101,predictive_hybrid,burst_001,101,1,hello,52.22,5.56,863.99,6131.22,6646.25,5903.96,344.47,180
mpc_burst_001_101,mpc,burst_001,101,1,hello,52.22,5.56,909.44,6835.73,7764.32,6593.43,357.33,180
adaptive_burst_001_101,adaptive,burst_001,101,1,hello,36.77,6.45,3265.77,11172.03,13010.37,10896.08,416.83,155
reactive_periodic_001_101,reactive,periodic_001,101,1,hello,45.45,8.26,1091.18,3145.72,3429.42,2851.85,348.33,121
predictive_ema_periodic_001_101,predictive_ema,periodic_001,101,1,hello,60.00,6.06,805.48,2400.96,2683.42,2154.53,358.21,165
predictive_hybrid_periodic_001_101,predictive_hybrid,periodic_001,101,1,hello,40.91,9.09,1303.51,3539.98,3940.35,3210.04,336.48,110
mpc_periodic_001_101,mpc,periodic_001,101,1,hello,38.02,8.26,1354.86,3254.53,3861.60,2987.38,350.15,121
adaptive_periodic_001_101,adaptive,periodic_001,101,1,hello,41.98,5.34,1163.48,2968.81,3302.84,2661.84,250.00,131
reactive_mixed_001_101,reactive,mixed_001,101,1,compute,26.67,24.44,1605.92,6923.50,7067.20,4667.57,215.57,45
reactive_mixed_001_101,reactive,mixed_001,101,1,hello,44.00,16.00,1330.03,4453.57,6198.88,3045.48,205.07,50
predictive_ema_mixed_001_101,predictive_ema,mixed_001,101,1,compute,35.09,17.54,1538.04,4935.02,5200.23,3800.60,244.83,57
predictive_ema_mixed_001_101,predictive_ema,mixed_001,101,1,hello,38.18,14.55,1216.64,3600.84,5024.14,2944.05,217.27,55
predictive_hybrid_mixed_001_101,predictive_hybrid,mixed_001,101,1,compute,60.87,17.39,879.34,3346.97,3640.13,2129.80,172.07,46
predictive_hybrid_mixed_001_101,predictive_hybrid,mixed_001,101,1,hello,62.71,15.25,811.91,4124.82,4981.79,3294.04,220.48,59
adaptive_mixed_001_101,adaptive,mixed_001,101,1,compute,20.45,11.36,2026.72,5331.24,6365.94,4509.10,176.89,44
adaptive_mixed_001_101,adaptive,mixed_001,101,1,hello,2.86,17.14,2850.04,7239.47,7367.53,6774.35,176.81,35
reactive_burst_001_202,reactive,burst_001,202,2,hello,12.17,8.70,7492.76,17198.57,18454.13,16767.86,432.57,115
predictive_ema_burst_001_202,predictive_ema,burst_001,202,2,hello,27.41,7.41,5656.85,21178.20,25086.97,20164.27,516.26,135
predictive_hybrid_burst_001_202,predictive_hybrid,burst_001,202,2,hello,20.83,8.33,5077.11,14216.90,15409.77,13908.78,343.15,120
mpc_burst_001_202,mpc,burst_001,202,2,hello,9.52,9.52,7081.05,12646.29,14029.35,12385.45,338.09,105
adaptive_burst_001_202,adaptive,burst_001,202,2,hello,15.38,7.69,5109.57,10430.26,12399.11,10149.46,338.04,130
reactive_periodic_001_202,reactive,periodic_001,202,2,hello,63.52,6.29,805.61,2371.09,3242.04,2004.71,353.80,159
predictive_ema_periodic_001_202,predictive_ema,periodic_001,202,2,hello,61.49,6.21,818.57,2612.20,3104.44,2394.14,357.55,161
predictive_hybrid_periodic_001_202,predictive_hybrid,periodic_001,202,2,hello,56.96,6.33,924.48,2647.10,2950.31,2372.46,355.50,158
mpc_periodic_001_202,mpc,periodic_001,202,2,hello,65.50,5.85,736.52,2315.86,2649.96,2091.99,358.25,171
adaptive_periodic_001_202,adaptive,periodic_001,202,2,hello,55.90,4.35,894.32,2596.25,3054.91,2264.42,246.99,161
reactive_mixed_001_202,reactive,mixed_001,202,2,hello,65.38,16.67,788.12,1998.92,2656.34,1494.29,257.50,78
reactive_mixed_001_202,reactive,mixed_001,202,2,compute,78.89,7.78,664.47,1417.68,1997.55,1065.23,234.61,90
predictive_ema_mixed_001_202,predictive_ema,mixed_001,202,2,hello,73.17,13.41,643.42,1797.64,2114.14,1377.95,241.14,82
predictive_ema_mixed_001_202,predictive_ema,mixed_001,202,2,compute,71.26,12.64,649.94,2042.43,2668.97,1682.07,253.37,87
predictive_hybrid_mixed_001_202,predictive_hybrid,mixed_001,202,2,hello,70.97,9.68,705.44,1801.63,1914.68,1350.11,244.78,93
predictive_hybrid_mixed_001_202,predictive_hybrid,mixed_001,202,2,compute,79.52,9.64,637.51,1509.09,1972.08,1080.02,233.91,83
mpc_mixed_001_202,mpc,mixed_001,202,2,hello,91.07,8.04,509.52,1089.92,1353.89,839.72,284.47,112
adaptive_mixed_001_202,adaptive,mixed_001,202,2,hello,55.06,5.62,889.14,2387.10,2739.16,2119.27,163.71,89
adaptive_mixed_001_202,adaptive,mixed_001,202,2,compute,72.09,4.65,782.46,1690.88,2525.85,1389.46,137.40,86
reactive_burst_001_303,reactive,burst_001,303,3,hello,53.07,5.59,881.89,7219.13,7806.07,6933.86,355.40,179
predictive_ema_burst_001_303,predictive_ema,burst_001,303,3,hello,46.47,5.88,1460.35,7172.32,7816.34,6916.12,356.61,170
predictive_hybrid_burst_001_303,predictive_hybrid,burst_001,303,3,hello,46.86,5.71,1333.62,7231.27,8342.92,6999.26,348.61,175
mpc_burst_001_303,mpc,burst_001,303,3,hello,47.43,5.71,1381.76,6792.89,7251.36,6559.25,348.00,175
adaptive_burst_001_303,adaptive,burst_001,303,3,hello,41.82,6.06,2357.82,8338.07,9922.05,8100.89,371.17,165
reactive_periodic_001_303,reactive,periodic_001,303,3,hello,69.41,5.88,709.33,2148.66,2332.81,1897.40,359.06,170
predictive_ema_periodic_001_303,predictive_ema,periodic_001,303,3,hello,63.91,5.92,793.77,2347.54,2772.06,2100.93,354.14,169
