baseline,metric,adp_mean,base_mean,abs_diff,rel_improvement_pct,ci_low,ci_high,effect_size_dz,p_value_ttest,p_value_wilcoxon,n_pairs
reactive,p99_latency,4983.8640000000005,4851.5395,132.32450000000003,2.727474443936817,-812.534353964476,1077.183353964476,0.06554394030649688,0.7726068006340651,0.7011814117431641,20
reactive,sla_compliance,47.17,57.2745,-10.104499999999998,-17.642231708701075,-14.669386112962133,-5.539613887037863,-1.035962662078642,0.0001814160331333446,1.33514404296875e-05,20
reactive,container_seconds,231.80100000000002,304.297,-72.49600000000001,-23.824092909230128,-97.69225552480496,-47.299744475195055,-1.3465958215265854,8.566903791359536e-06,6.29425048828125e-05,20
reactive,cold_start_rate,6.575,10.0855,-3.5104999999999995,-34.80739675772148,-5.59982024189986,-1.4211797581001386,-0.7863632107652138,0.0023061247864334393,0.0010166168212890625,20
reactive,resource_efficiency,0.2440892182848044,0.19774521434601072,0.046344003938793746,23.43622023524772,-0.0011043505533946674,0.09379235843098216,0.45712146873518694,0.05503294464647307,0.069580078125,20
predictive_ema,p99_latency,5079.562105263159,295187.1736842105,-290107.61157894734,-98.27920636189388,-898929.258187494,318714.03502959927,-0.2296688918389318,0.33004568953392954,0.9529838562011719,19
predictive_ema,sla_compliance,47.41842105263157,51.09473684210526,-3.676315789473682,-7.195096827358875,-13.691648139898598,6.339016560951235,-0.17692148688664866,0.4506040294639057,0.036067962646484375,19
predictive_ema,container_seconds,231.25,284.72473684210524,-53.47473684210527,-18.781205115929147,-93.2394848695069,-13.709988814703657,-0.6481619879515603,0.011212114336245005,0.015972137451171875,19
predictive_ema,cold_start_rate,6.6557894736842105,18.980526315789472,-12.324736842105263,-64.93358844244794,-26.11282333368178,1.4633496494712528,-0.43083084889092027,0.0766877444774116,0.00457763671875,19
predictive_ema,resource_efficiency,0.2477140333375749,0.17493091513318312,0.07278311820439183,41.606778395333166,0.007895332811017286,0.13767090359776638,0.5406308728159354,0.02997703477032363,0.060207366943359375,19
predictive_hybrid,p99_latency,4983.8640000000005,4699.751499999999,284.1124999999999,6.0452664358955985,-684.2241616276549,1252.4491616276548,0.13731664648581546,0.5464335793370861,0.7011814117431641,20
predictive_hybrid,sla_compliance,47.17,58.38100000000001,-11.210999999999999,-19.203165413405042,-18.080647515562536,-4.341352484437462,-0.7637814747390375,0.002899390923716435,4.76837158203125e-05,20
predictive_hybrid,container_seconds,231.80100000000002,289.473,-57.672000000000004,-19.92310163642205,-81.42181570113607,-33.92218429886394,-1.1364857389507443,6.614204456318435e-05,0.0002613067626953125,20
predictive_hybrid,cold_start_rate,6.575,9.468,-2.893,-30.555555555555554,-4.440227075904052,-1.3457729240959475,-0.8750917682730562,0.0009335123867254784,0.0014324188232421875,20
predictive_hybrid,resource_efficiency,0.2440892182848044,0.2190607382958379,0.025028479988966585,11.425360922122904,-0.028957268581076657,0.07901422855900983,0.21697743415433482,0.34406238183746224,0.13272666931152344,20
mpc,p99_latency,5532.979285714287,4760.373571428572,772.605714285714,16.22993873680081,-156.72354734136275,1701.9349759127908,0.48001206552359615,0.09575364633837272,0.0579833984375,14
mpc,sla_compliance,47.181428571428576,59.93714285714286,-12.755714285714285,-21.281819048527026,-20.80197116943097,-4.709457401997602,-0.9153237667831943,0.004521454087568754,0.0030517578125,14
mpc,container_seconds,264.2857142857143,328.02071428571435,-63.735,-19.430175359134548,-100.174555717757,-27.295444282242997,-1.0098776639239349,0.0022988787649076315,0.0040283203125,14
mpc,cold_start_rate,5.773571428571429,6.984285714285713,-1.2107142857142856,-17.3348332992432,-2.006051233101978,-0.4153773383265933,-0.8789301425364808,0.005874556416179896,0.013127850294110933,14
mpc,resource_efficiency,0.2113551943582399,0.19120735019640386,0.020147844161836043,10.537170323808489,-0.0030756158897291483,0.043371304213401234,0.5009166960516883,0.08354138831076205,0.090576171875,14
